category,audio,window,time,start_time,end_time,aasist_score,old_prosody_score,new_v2_prosody_score
SYNTHETIC,synthetic_cloned.ogg,#34,33.0-35.0s,33.0,35.0,0.9984006285667419,0.0025557637225026575,0.4328829713798527
SYNTHETIC,synthetic_cloned.ogg,#35,34.0-36.0s,34.0,36.0,0.9998736381530762,0.0028807090857858597,0.40219697755497474
WHATSAPP,real_whatsapp.ogg,#1,0.0-2.0s,0.0,2.0,0.9954654574394226,0.0077315322128760355,0.38442385127567175
WHATSAPP,real_whatsapp.ogg,#2,1.0-3.0s,1.0,3.0,0.9953566193580627,0.002539079773470232,0.419518845392879
WHATSAPP,real_whatsapp.ogg,#3,2.0-4.0s,2.0,4.0,0.9978125095367432,0.0025650678082094203,0.419518845392879
WHATSAPP,real_whatsapp.ogg,#4,3.0-5.0s,3.0,5.0,0.9996138215065002,0.002371280248684826,0.40219697755497474
WHATSAPP,real_whatsapp.ogg,#5,4.0-6.0s,4.0,6.0,0.9991331696510315,0.002844706259736096,0.419518845392879
WHATSAPP,real_whatsapp.ogg,#6,5.0-7.0s,5.0,7.0,0.9979056119918823,0.0039805218333272,0.4081202282807972
WHATSAPP,real_whatsapp.ogg,#7,6.0-8.0s,6.0,8.0,0.9980416297912598,0.008117364636256452,0.45361666137747947
WHATSAPP,real_whatsapp.ogg,#8,7.0-9.0s,7.0,9.0,0.9999712705612183,0.0027925394319562313,0.419518845392879
WHATSAPP,real_whatsapp.ogg,#9,8.0-10.0s,8.0,10.0,0.9998691082000732,0.0025650678082094203,0.4081202282807972
WHATSAPP,real_whatsapp.ogg,#10,9.0-11.0s,9.0,11.0,0.9999275207519531,0.1169526928292105,0.4608362104291024
WHATSAPP,real_whatsapp.ogg,#11,10.0-12.0s,10.0,12.0,0.999910831451416,0.011874224927025723,0.45361666137747947
WHATSAPP,real_whatsapp.ogg,#12,11.0-13.0s,11.0,13.0,0.9992915391921997,0.002844706259736096,0.41354574929191795
WHATSAPP,real_whatsapp.ogg,#13,12.0-14.0s,12.0,14.0,0.9983891248703003,0.00264230437612889,0.45361666137747947
WHATSAPP,real_whatsapp.ogg,#14,13.0-15.0s,13.0,15.0,0.9970782995223999,0.010173857715317647,0.42075662579230777
WHATSAPP,real_whatsapp.ogg,#15,14.0-16.0s,14.0,16.0,0.9999827146530151,0.008546365387528065,0.47885835383365
WHATSAPP,real_whatsapp.ogg,#16,15.0-17.0s,15.0,17.0,0.9999719858169556,0.002874913364298237,0.40219697755497474
